Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2021,Oh Manapenne!,Bodhai Kaname,விஷால் சந்திரசேகர்,
2021,Enemy,Tum Tum,தமன் எஸ்,
2021,Galatta Kalyanam,Sooraavali Ponnu,ஏ. ஆர். ரஹ்மான்,
2021,Anbarivu,Arakkiyae,ஹிப்ஹாப் தமிழா,
,,,,
2022,Naai Sekar,Lol Lol Arasan,Ajesh,
,,,,
2022,மாறன்,Polladha Ulagam,ஜி. வி. ப்ரகாஷ் குமார்,Also Screenplay writer
2022,மாறன்,Annana Thaalaattum,ஜி. வி. ப்ரகாஷ் குமார்,
,,,,
2022,மகான்,Evanda Enakku Custody,சந்தோஷ் நாராயணன்,
2022,மகான்,Missing Me,சந்தோஷ் நாராயணன்,
2022,மகான்,Naan Naan,சந்தோஷ் நாராயணன்,
2022,மகான்,Umm Song,சந்தோஷ் நாராயணன்,
,,,,
2022,வீரமே வாகை சூடும்,Thithikkirathe Kangal,யுவன் சங்கர் ராஜா,
2022,பீஸ்ட்,Beast Mode,Anirudh Ravichander,
2022,Ranga,Mathapoo,Ramjeevan,
2022,Ayngaran,Thithipa,G. Vignesh,
,,,,
2022,Andhagan,En Kadhal,சந்தோஷ் நாராயணன்,
2022,Andhagan,Yosichi Yosichi,சந்தோஷ் நாராயணன்,
,,,,
2022,டான்,Unnai Vidaadhe,அனிருத் ரவிச்சந்தர்,
2022,டான்,Mudhal Naayagan,அனிருத் ரவிச்சந்தர்,
,,,,
2022,பெஸ்டி,Unnai Pola,J. V.,
2022,Anel Meley Pani Thuli,Mittai Mittai,சந்தோஷ் நாராயணன்,
2022,Paper Rocket,Kaalai Maalai,Dharan Kumar,
2022,Gulu Gulu,Anbarey,சந்தோஷ் நாராயணன்,
2022,திருச்சிற்றம்பலம்,Life of Pazham,அனிருத் ரவிச்சந்தர்,
2022,Paramporul,Sippara Rippara,யுவன் சங்கர் ராஜா,
2022,Cobra,Thumbi Thullal,ஏ. ஆர். ரஹ்மான்,
2022,Prince,Bimbiliki Pilaapi,தமன் எஸ்,
2022,Singappenney,Ezhundhu Vaa,Kumaran Sivamani,
2022,Naane Varuvean,Yaarum Illa,யுவன் சங்கர் ராஜா,
2022,Naai Sekar Returns,Panakkaran,சந்தோஷ் நாராயணன்,
2022,Gatta Kusthi,Chal Chakka,Justin Prabhakaran,
2022,Sanda Veerachi,Medha Medhappa,யுவன் சங்கர் ராஜா,Best Lyricist - 14th Ananda Vikatan Cinema Awards 2022
,,,,
2022,வாரிசு,Ranjithame,தமன் எஸ்,"Also Dialogues, Additional Screenplay"
2022,வாரிசு,Thee Thalapathy,தமன் எஸ்,
2022,வாரிசு,Soul Of Varisu,தமன் எஸ்,
2022,வாரிசு,Jimikki Ponnu,தமன் எஸ்,
2022,வாரிசு,Vaa Thalaivaa,தமன் எஸ்,
,,,,
2023,Kick,Pathu Murai,Arjun Janya,
,,,,
