Year,Song Count,Film,Song,Composer,Note
2022,171,Sanda Veerachi,Medha Medhappa,Yuvan Shankar Raja,Best Lyricist - 14th Ananda Vikatan Cinema Awards 2022
, ,,,,
2022,172,Varisu,Ranjithame,Thaman S,"Also Dialogues, Additional Screenplay"
2022,173,Varisu,Thee Thalapathy,Thaman S,
2022,174,Varisu,Soul Of Varisu,Thaman S,
2022,175,Varisu,Jimikki Ponnu,Thaman S,
2022,176,Varisu,Vaa Thalaivaa,Thaman S,
, ,,,,
2023,177,Kick,Pathu Murai,Arjun Janya,
, ,,,,
2023,178,Dasara,Dhoom Dhaam Dhosthu,Santhosh Narayanan,
2023,179,Dasara,Theekari,Santhosh Narayanan,
, ,,,,
2023,180,Theerkadarishi,Miss You,G. Balasubramanian,
2023,181,Agilan,Dhrogam,Sam CS,
, ,,,,
2023,182,Pathu Thala,Namma Satham,A. R. Rahman,
2023,183,Pathu Thala,Nee Singamdhan,A. R. Rahman,
, ,,,,
2023,184,Veeran,Thunderkaaran,Hiphop Tamizha,
2023,185,Regina,Naam Ulaavum Oadai,Sathish Nair,
, ,,,,
2023,186,Jawan (Tamil),Vandha Edam,Anirudh Ravichander,
2023,187,Jawan (Tamil),Hayyoda,Anirudh Ravichander,
2023,188,Jawan (Tamil),Not Ramaiya Vastavaiya,Anirudh Ravichander,
2023,189,Jawan (Tamil),Aararaari Raaro,Anirudh Ravichander,
2023,190,Jawan (Tamil),Pattasa,Anirudh Ravichander,
, ,,,,
2023,191,Iraivan,Azhagai,Yuvan Shankar Raja,
2023,192,Iraivan,Idhu Pola,Yuvan Shankar Raja,
2023,193,Iraivan,Shades of Love,Yuvan Shankar Raja,
2023,194,Iraivan,Nanbha,Yuvan Shankar Raja,
2023,195,Iraivan,Fear Beat,Yuvan Shankar Raja,
, ,,,,
2023,196,Chithha,Unakku Thaan,Santhosh Narayanan,
2023,197,Chandramukhi 2,Moruniye,M. M. Keeravani,
, ,,,,
2023,198,Miss Shetty Mr Polishetty (Tamil),No No No,Radhan,
2023,199,Miss Shetty Mr Polishetty (Tamil),Lady Luck,Radhan,
2023,200,Miss Shetty Mr Polishetty (Tamil),Aaradho,Radhan,
2023,201,Miss Shetty Mr Polishetty (Tamil),Yaadho Dhisai,Radhan,
, ,,,,
2023,202,Jigarthanda DoubleX,Maamadura,Santhosh Narayanan,
2023,203,Jigarthanda DoubleX,Oyyaram,Santhosh Narayanan,
, ,,,,
2023,204,Annapoorani: The Goddess of Food,Ulagai Vella Pogiraal,Thaman S,
2023,205,Annapoorani: The Goddess of Food,Life Is On (Version 1 - Veg),Thaman S,
2023,206,Annapoorani: The Goddess of Food,Life Is On (Version 2 - Non-Veg),Thaman S,
2023,207,Annapoorani: The Goddess of Food,Ivalo Ivalo,Thaman S,
2023,208,Annapoorani: The Goddess of Food,Aduppil Pogai Aagum,Thaman S,
, ,,,,
2023,209,Lal Salaam,Ther Thiruvizha,A. R. Rahman,
, ,,,,
2023,210,Saindhav (Tamil),Vennaa Penne,Santhosh Narayanan,
2023,211,Saindhav (Tamil),Poraname,Santhosh Narayanan,
, ,,,,
2023,212,Hi Nanna (Tamil),Amizhdhe Nee,Hesham Abdul Wahab,
2023,213,Hi Nanna (Tamil),Odiyamma,Hesham Abdul Wahab,
2023,214,Hi Nanna (Tamil),Nee Maaya Nizhal,Hesham Abdul Wahab,
2023,215,Hi Nanna (Tamil),Vaazhvin Doorame,Hesham Abdul Wahab,
, ,,,,
2024,216,Captain Miller,Kombari Vettapuli,G.V. Prakash Kumar,
, ,,,,
2024,217,Ayalaan,Vera Level Sago,A. R. Rahman,
2024,218,Ayalaan,Ayalaa Ayalaa,A. R. Rahman,
, ,,,,
2024,219,Joshua,Imai Pol Kaakha: Tappasu Neram,Karthik,
2024,220,Ranam Aram Thavarel,Achu Pennae,Arroll Corelli,
, ,,,,
2024,221,The Family star (Tamil),Nandanadana,Gopi Sundar,
2024,222,The Family star (Tamil),Kalyaanam Satham Satham,Gopi Sundar,
, ,,,,
2024,223,J Baby,Idha Thane Ethir Paathen,Santhosh Narayanan,
2024,224,J Baby,Yaar Padalai,Santhosh Narayanan,
2024,225,J Baby,Idha Thane (Reprise),Santhosh Narayanan,
, ,,,,
2024,226,Kalki 2898 AD (Tamil),Bhairava Anthem,Santhosh Narayanan,
2024,227,Kalki 2898 AD (Tamil),Theme of Kalki,Santhosh Narayanan,
2024,228,Kalki 2898 AD (Tamil),Hope of Shambala,Santhosh Narayanan,
2024,229,Kalki 2898 AD (Tamil),Ta Takkara (Complex Song),Santhosh Narayanan,
2024,230,Kalki 2898 AD (Tamil),Keshava Madhava (Wait of Ashwatthama),Santhosh Narayanan,
, ,,,,
2024,231,EMI,Poonaikku,Srinath Pitchai,
2024,232,Vaazhai,Otha Satti Soru,Santhosh Narayanan,
2024,233,The Greatest of All Time,Matta,Yuvan Shankar Raja,
, ,,,,
2024,234,Game Changer (Tamil),Jaragandi,Thaman S,Also Tamil dialogues and screenplay along with S. Shankar
2024,235,Game Changer (Tamil),Raa Macha Macha,Thaman S,
, ,,,,
2024,236,Amaran,Uyirey,G.V. Prakash Kumar,
2024,237,Bloody Beggar,Ponmayame,Jen Martin,Co-wrote lyrics with Vishnu Edavan
2024,238,Kadhalikka Neramillai,Yennai Izhukkuthadi,A. R. Rahman,
, ,,,,
2025,239,Nilavuku En Mel Ennadi Kobam,Yedi,G.V. Prakash Kumar,
2025,240,Nilavuku En Mel Ennadi Kobam,Veera Dheera Sooran,G.V. Prakash Kumar,
2025,241,Nilavuku En Mel Ennadi Kobam,Kalloorum,G.V. Prakash Kumar,
2025,242,Nilavuku En Mel Ennadi Kobam,Aaathi Adi Aaathi,G.V. Prakash Kumar,
2025,243,Nilavuku En Mel Ennadi Kobam,Ayla Allela,G.V. Prakash Kumar,
, ,,,,
2025,244,Retro,Kannadi Poove,Santhosh Narayanan,
2025,245,Retro,Kanimaa,Santhosh Narayanan,
2025,246,Retro,The One,Santhosh Narayanan,
2025,247,Retro,Edharkaga Marubadi,Santhosh Narayanan,
, ,,,,
2025,248,Maaman,"All songs except ""Vizhuthe Thalavizhuthe""",Hesham Abdul Wahab,
2025,249,3BHK,Kaanalin Mele,Amrit Ramnath,
2025,250,Thanal,Kitta Nerungadha,Justin Prabhakaran,
2025,251,Dude,Nallaru Po,Sai Abhyankkar,
2025,252,Mark,Masth Malaika,B. Ajaneesh Loknath,Tamil version
, ,,,,
2026,253,Karuppu,Raathu Raasan,Sai Abhyankkar,
, ,,,,
2026,254,Jana Nayagan,Oru Pere Varalaaru,Anirudh Ravichander,
2026,255,Jana Nayagan,Chella Magale,Anirudh Ravichander,
2026,256,Jana Nayagan,Raavana Mavandaa,Anirudh Ravichander,
2026,257,Jana Nayagan,Uravu,Anirudh Ravichander,
2026,258,Jana Nayagan,Ulla Olicha Uyire,Anirudh Ravichander,
, ,,,,
2026,259,Peddi,Chikiri Chikiri,A. R. Rahman,Tamil version
2026,260,Peddi,Rai Rai Raa Raa,A. R. Rahman,
,,,,,
,,,,,
,,Music Video,Artist,,
2024,261,TVK FLAG ANTHEM,Arivu,,
2025,262,Sithira Puthiri,Sai Abhyankkar,,
2026,263,Pavazha Malli,Sai Abhyankkar,,
2026,264,TVK Unga Vijay Song,,,
2026,265,TVK Election Song - Kadaisi Nambikkai,Thaman,,
,,,,,
,,,,,
,,,353,,
